doi:10.7910/DVN/XFQZI2	Condemnation.R	Error in read.dta13('Condemnation.dta') :   could not find function 'read.dta13'
doi:10.7910/DVN/JWTBUG	topic-model-code-micro.R	Error : '~/Dropbox/Research/Papers/BudgetsTextAnalysis-PMRC2017/CleanData/Micro/download_dataset.py' does not exist.
doi:10.7910/DVN/LMW871	BARP_plots.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/LMW871	BARP_replication.R	Error in file(file, ifelse(append, 'a', 'w')) :   cannot open the connection
doi:10.7910/DVN/LMW871	helper_functions.R	success
doi:10.7910/DVN/26935	ButheMilner.R	Error in read.dta('MilnerButhe2.dta') :   not a Stata version 5-12 .dta file
doi:10.7910/DVN/26935	DreherJensen.R	Error in meat + bread : non-conformable arrays
doi:10.7910/DVN/26935	Neumayer_ISQ_2003.R	time limit exceeded
doi:10.7910/DVN/26935	bootstrapIM.nb.R	success
doi:10.7910/DVN/26935	bootstrapIM.normal.R	success
doi:10.7910/DVN/26935	bootstrapIM.poisson.R	success
doi:10.7910/DVN/26935	vcovSACCchange.R	success
doi:10.7910/DVN/HT1WSA	mi_replication.R	Error in set.seed(1234 * runNum) : supplied seed is not a valid integer
doi:10.7910/DVN/HT1WSA	paper_replication.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/QQ2FV9	PopCulture_Appendix_Replication.R	Error in ttest_function(movieDF_full, 'revolution') :   could not find function 'ttest_function'
doi:10.7910/DVN/QQ2FV9	PopCulture_Dataset_Development_Replication.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/61JJI3	FH_Polity permutations.R	Error in multiplot(pr.plot, pr.score.plot, cl.plot, cl.score.plot, cols = 2) :   could not find function 'multiplot'
doi:10.7910/DVN/O6HR6R	replication_latebudgets.R	Error: unexpected '^' in \**\""
doi:10.7910/DVN/PVQVWD	replication_code.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/H7QR3Q	unknown	time limit exceeded
doi:10.7910/DVN/VE6VSR	attrition.R	Error in tidy(lm_robust(value ~ 1, data = .)) :   could not find function 'tidy'
doi:10.7910/DVN/VE6VSR	blocked.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/VE6VSR	clustered.R	Error in tidy(lm_robust(Y ~ 1, clusters = class, data = .)) :   could not find function 'tidy'
doi:10.7910/DVN/VE6VSR	covariate_adjustment.R	Error in lm_lin(Y ~ Z, covariates = ~X, data = dat) :   could not find function 'lm_lin'
doi:10.7910/DVN/VE6VSR	unknown	time limit exceeded
doi:10.7910/DVN/C4QGBT	Trussler BJPS Replication - Appendices.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/C4QGBT	Trussler BJPS Replication - Main Analyses.R	Error in pdf(file = './MainFigures/Figure1.pdf', width = 11, height = 8) :   cannot open file './MainFigures/Figure1.pdf'
doi:10.7910/DVN/FHTQL5	Replication Files Party Politics.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/TDMTRV	clean_code_rep.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/0FXKKX	AG_code.R	Error in principal(pca_dv, nfactors = 1, rotate = 'none', covar = FALSE,  :   could not find function 'principal'
doi:10.7910/DVN/0FXKKX	CM_code.R	Error in principal(pca_dv, nfactors = 1, rotate = 'none', covar = FALSE,  :   could not find function 'principal'
doi:10.7910/DVN/KYSD5S	rrp_rdd.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/KYSD5S	rrp_rdd_functions.R	success
doi:10.7910/DVN/DY1282	Figure2_Replication.R	success
doi:10.7910/DVN/B1EJBO	test-wcor.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/1QJCDJ	SPID_v1.0_network.R	Error in as_cascade_long(policies, cascade_node_name = 'statenam', cascade_id = 'policy',  :   could not find function 'as_cascade_long'
doi:10.7910/DVN/MJKCHZ	001_conjoint_analysis.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/MJKCHZ	002_conjoint_plots.R	Error in grid.arrange(f1, ncol = 1, top = '') :   could not find function 'grid.arrange'
doi:10.7910/DVN/MJKCHZ	003_survey_analysis.R	success
doi:10.7910/DVN/MJKCHZ	004_conjoint_diagnostics.R	Error in read.dta('~/Dropbox/Romanian local elections 2016/01_data/conjoint_Romania.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/PYIFPF	code.R	Error in write.xlsx(gender, 'gender.xlsx') :   could not find function 'write.xlsx'
doi:10.7910/DVN/IUXG2I	FragaJuenkeShah_Fig1.R	success
doi:10.7910/DVN/IUXG2I	FragaJuenkeShah_FigA1.R	success
doi:10.7910/DVN/IUXG2I	FragaJuenkeShah_FigA2.R	success
doi:10.7910/DVN/IUXG2I	FragaJuenkeShah_FigA3.R	success
doi:10.7910/DVN/A47LUM	unknown	time limit exceeded
doi:10.7910/DVN/I42PPJ	psrm_submission_code.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/8FK7PC	Hartman_Newman_THREE-WAVE_2010-2014_Replication.R	Error in loadNamespace(name) : there is no package called 'pacman'
doi:10.7910/DVN/8FK7PC	Hartman_Newman_TWO-WAVE_2010-2012_Replication.R	Error in loadNamespace(name) : there is no package called 'pacman'
doi:10.7910/DVN/W9DGRR	replication.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/CQMMTS	1_cleaning_script.R	success
doi:10.7910/DVN/CQMMTS	1_translating_data.R	Error in file(file, ifelse(append, 'a', 'w')) :   cannot open the connection
doi:10.7910/DVN/CQMMTS	2_figure_1.R	Error in lm_robust(attitudinal_outcome ~ h1_treat, data = survey_df) :   could not find function 'lm_robust'
doi:10.7910/DVN/CQMMTS	2_figure_2.R	Error in lm_robust(attitudinal_outcome ~ h1_treat * islam, data = survey_df) :   could not find function 'lm_robust'
doi:10.7910/DVN/CQMMTS	3_figure_1.R	Error in grDevices::pdf(file = filename, ..., version = version) :   cannot open file './outputs/sa_figure_1a.pdf'
doi:10.7910/DVN/CQMMTS	3_figure_2.R	Error in lm_robust(attitudinal_outcome ~ I(treatment == 'T1'), data = survey_df %>%  :   could not find function 'lm_robust'
doi:10.7910/DVN/CQMMTS	3_figure_3.R	Error in lm_robust(religion == 'Islam' ~ h1_treat, data = survey_df) :   could not find function 'lm_robust'
doi:10.7910/DVN/CQMMTS	_main.R	Error in file(file, ifelse(append, 'a', 'w')) :   cannot open the connection
doi:10.7910/DVN/YLENUI	replication_code.R	Error in clmm(form1, link = 'probit', data = dat, Hess = TRUE) :   could not find function 'clmm'
doi:10.7910/DVN/9QUMY3	congo_fix.R	Error in paste0(rep_dir, '/merging/travels_visits') :   object 'rep_dir' not found
doi:10.7910/DVN/9QUMY3	cy_leader_merge.R	Error in paste0(rep_dir, '/merging/cy_merging') :   object 'rep_dir' not found
doi:10.7910/DVN/9QUMY3	elec_merge.R	Error in paste0(rep_dir, '/merging/leader_merging') :   object 'rep_dir' not found
doi:10.7910/DVN/9QUMY3	figure1.R	success
doi:10.7910/DVN/9QUMY3	gb_cy_breakdown.R	success
doi:10.7910/DVN/9QUMY3	imputing_lagging.R	Error in pdata.frame(d, index = c('cow_name', 'year')) :   could not find function 'pdata.frame'
doi:10.7910/DVN/9QUMY3	instability_index.R	success
doi:10.7910/DVN/9QUMY3	master_merge.R	Error in rbind(deparse.level, ...) :   numbers of columns of arguments do not match
doi:10.7910/DVN/9QUMY3	merge10_cnts.R	success
doi:10.7910/DVN/9QUMY3	merge1_cy_blank.R	success
doi:10.7910/DVN/9QUMY3	merge2_worldbank.R	Error in countrycode(gdpc$Country.Code, origin = 'wb', destination = 'cowc') :   could not find function 'countrycode'
doi:10.7910/DVN/9QUMY3	merge3_polity.R	success
doi:10.7910/DVN/9QUMY3	merge4_greenbook.R	success
doi:10.7910/DVN/9QUMY3	merge5_unga.R	success
doi:10.7910/DVN/9QUMY3	merge6_unsc.R	success
doi:10.7910/DVN/9QUMY3	merge7_trade.R	success
doi:10.7910/DVN/9QUMY3	merge8_ally.R	success
doi:10.7910/DVN/9QUMY3	merge9_pts.R	success
doi:10.7910/DVN/9QUMY3	travel_visit_state_merge.R	success
doi:10.7910/DVN/9QUMY3	travels_clean.R	Error in rbind(deparse.level, ...) :   numbers of columns of arguments do not match
doi:10.7910/DVN/9QUMY3	visits_clean.R	Error in rbind(deparse.level, ...) :   numbers of columns of arguments do not match
doi:10.7910/DVN/9QUMY3	visits_leader_merge.R	success
doi:10.7910/DVN/L2GSK6	1. BLM Data preparation code.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/L2GSK6	2. BLM Data analysis code.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/IYAX3D	power-analysis.R	Error in library('lme4') : there is no package called 'lme4'
doi:10.7910/DVN/JTO5PG	process.R	Error in `$<-.data.frame`(`*tmp*`, ACT_MODEL, value = structure(integer(0), .Label = c('unknown',  :   replacement has 0 rows, data has 404
doi:10.7910/DVN/RYNSDG	equivalence_replication_file.R	Error in CairoPDF(file = './dunning_nilekani_equiv_placebos.pdf', width = 12,  :   could not find function 'CairoPDF'
doi:10.7910/DVN/THNDTR	HomolaTavits_ContactFears_Analysis_Germany.R	Error in stargazer(mod1, mod2, mod3, omit.stat = c('f', 'ser', 'bic',  :   could not find function 'stargazer'
doi:10.7910/DVN/THNDTR	HomolaTavits_ContactFears_Analysis_US.R	success
doi:10.7910/DVN/THNDTR	HomolaTavits_ContactFears_Appendix_Germany.R	Error in describe(data[, c('violence_com', 'violence_nat', 'econ_hh',  :   could not find function 'describe'
doi:10.7910/DVN/THNDTR	HomolaTavits_ContactFears_Appendix_US.R	Error in describe(data[, c('violence_com', 'violence_nat', 'econ_hh',  :   could not find function 'describe'
doi:10.7910/DVN/THNDTR	HomolaTavits_ContactFears_interactions.R	success
doi:10.7910/DVN/BZN2QC	DVM_supp.R	Error in pdfetch_YAHOO(c('^GSPC', 'CMCSA', 'CHTR', 'T', 'VZ', 'CTL', 'GOOGL',  :   could not find function 'pdfetch_YAHOO'
doi:10.7910/DVN/BZN2QC	Data_processing.R	success
doi:10.7910/DVN/BZN2QC	FF_supp.R	Error in read_csv('../ImportableData/FamaFrenchImport.csv') :   could not find function 'read_csv'
doi:10.7910/DVN/BZN2QC	Fetch_data.R	Error in pdfetch_YAHOO(c('^GSPC', '^NDXT', 'CMCSA', 'CHTR', 'T', 'VZ',  :   could not find function 'pdfetch_YAHOO'
doi:10.7910/DVN/BZN2QC	weighted_index.R	Error in library(pdfetch) : there is no package called 'pdfetch'
doi:10.7910/DVN/1ANAKP	code.R	Error in plm(price ~ rpsprop + dere + ipp + isp + gasPrice, data = POLICYII,  :   could not find function 'plm'
doi:10.7910/DVN/OI4U3L	BCCN_ReplicationRun.R	Error in xy.coords(x, y, xlabel, ylabel, log) :   'x' is a list, but does not have components 'x' and 'y'
doi:10.7910/DVN/OI4U3L	initialise_model.R	success
doi:10.7910/DVN/OI4U3L	likelihoods_model.R	success
doi:10.7910/DVN/OI4U3L	mixtures_of_ergms_model.R	success
doi:10.7910/DVN/OI4U3L	start_model.R	success
doi:10.7910/DVN/OI4U3L	terms_ego_ergm_model.R	Error in paste(ego.terms, collapse = '+') : object 'ego.terms' not found
doi:10.7910/DVN/UVTZZV	moore and shellman replication - Figure A2.R	Error in plot.window(xlim, ylim, log = log, ...) :   need finite 'ylim' values
doi:10.7910/DVN/UVTZZV	replication for figures.R	Error in countrycode(out.of.sample$ccode, 'cown', 'country.name') :   could not find function 'countrycode'
doi:10.7910/DVN/LVYOKM	example_code.r	success
doi:10.7910/DVN/LVYOKM	primary.r	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/LVYOKM	unknown	time limit exceeded
doi:10.7910/DVN/7FYH0T	Replication_Script.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/7FYH0T	corstarsl.R	success
doi:10.7910/DVN/PMKK9S	01_MACRO_CULT_FINAL copy.R	Error in rcorr(as.matrix(COMBINEDPISA[, 2:14])) :   could not find function 'rcorr'
doi:10.7910/DVN/PMKK9S	unknown	time limit exceeded
doi:10.7910/DVN/BZ5BLZ	Replication.R	Error in as.spam(matrix(0, n, num.elections)) :   could not find function 'as.spam'
doi:10.7910/DVN/PUIVRF	load.R	success
doi:10.7910/DVN/PUIVRF	table10-11.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/PUIVRF	table12.R	time limit exceeded
doi:10.7910/DVN/PUIVRF	table13.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/PUIVRF	table14.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/PUIVRF	table15.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/PUIVRF	table16.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/PUIVRF	table17.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/PUIVRF	table18.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/PUIVRF	table19.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/PUIVRF	table21.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/PUIVRF	table3.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/PUIVRF	table4.R	Error in lmRob(f1, data = k, control = lmRob.control(mxr = 500, mxf = 500,  :   could not find function 'lmRob'
doi:10.7910/DVN/PUIVRF	table7.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/PUIVRF	table8.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/PUIVRF	table9.R	Error in sandwich(i) : could not find function 'sandwich'
doi:10.7910/DVN/KPS1KY	APSR_Analysis_RScript.R	Error in read.dta13('##PATH##/Data/populism_touched.dta') :   could not find function 'read.dta13'
doi:10.7910/DVN/KPS1KY	R_Script_Dataset_Conversion_to_STATA.R	Error in library(p, character.only = T) :   there is no package called 'lavaan'
doi:10.7910/DVN/KPS1KY	R_simulation_appendix_S8.R	success
doi:10.7910/DVN/KPS1KY	activate.R	success
doi:10.7910/DVN/KPS1KY	ci.R	success
doi:10.7910/DVN/KPS1KY	collaborating.R	success
doi:10.7910/DVN/KPS1KY	docker.R	Error in loadNamespace(name) : there is no package called 'renv'
doi:10.7910/DVN/KPS1KY	local-sources.R	success
doi:10.7910/DVN/KPS1KY	lockfile.R	success
doi:10.7910/DVN/KPS1KY	r_sem.R	success
doi:10.7910/DVN/KPS1KY	renv.R	success
doi:10.7910/DVN/KPS1KY	scripts-repos-cache.R	Error in args[[2]] : subscript out of bounds
doi:10.7910/DVN/UXIBNO	combinedFunctions.R	success
doi:10.7910/DVN/UXIBNO	examples.R	Error in library(oc, quietly = TRUE) : there is no package called 'oc'
doi:10.7910/DVN/6NVI9C	aec_replication_JEPS.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/CRLCQG	scripit.R	Error in ans[ypos] <- rep(yes, length.out = len)[ypos] :   replacement has length zero
doi:10.7910/DVN/MZIKCS	nonstmJoPReplication.R	Error in fread('../data/fig2_public.csv') :   File '../data/fig2_public.csv' does not exist or is non-readable. getwd()=='/usr/workdir'
doi:10.7910/DVN/MZIKCS	stmJoPReplication.R	Error in install_version('stm', version = '1.3.0', repos = 'http://cran.us.r-project.org') :   could not find function 'install_version'
doi:10.7910/DVN/RRF7EU	zoning_participation_graphs.R	Error in read.dta13('reasons_by_comment.dta') :   could not find function 'read.dta13'
doi:10.7910/DVN/0PTKDP	figure_1_script.R	Error in eval(ei, envir) : object 'all.dd.rate' not found
doi:10.7910/DVN/0PTKDP	figure_2_script.R	success
doi:10.7910/DVN/0PTKDP	figure_3a_script.R	Error in attach.all(bailey) : could not find function 'attach.all'
doi:10.7910/DVN/0PTKDP	figure_3b_script.R	Error in attach.all(partisan.comp.merge, overwrite = T) :   could not find function 'attach.all'
doi:10.7910/DVN/Q5PV4U	02_Data_Cleaning.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/Q5PV4U	03_Analysis_Code.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/Q5PV4U	04_Theory_Graphs.R	Error in pmvnorm(lower = c(-Inf, -Inf), upper = c(-ar + TP, -ar + TC),  :   could not find function 'pmvnorm'
doi:10.7910/DVN/X7J1WC	EBCR_ReplicationScript.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/PUIROM	3_data management.R	success
doi:10.7910/DVN/PUIROM	4_analysis in article.R	success
doi:10.7910/DVN/PUIROM	5_analysis in appendix.R	Error in stargazer(descriptivdf, summary = T, covariate.labels = descriptives,  :   could not find function 'stargazer'
doi:10.7910/DVN/RWIHSL	AppendixFigures.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/RWIHSL	unknown	time limit exceeded
doi:10.7910/DVN/4LIO9F	mi_replication.R	Error in set.seed(1234 * runNum) : supplied seed is not a valid integer
doi:10.7910/DVN/4LIO9F	paper_replication.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/ELZZ8V	1Analysis_dictionary.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/ELZZ8V	2Analysis_stm_preprobust.R	Error in gzfile(file) : invalid 'description' argument
doi:10.7910/DVN/ELZZ8V	3Analysis_stm_cleanvalid.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/ELZZ8V	4Analysis_stm14.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/ORDLXK	ibrd-rep-161111.R	Error in pdf(file = paste('rd-out/densitytest.pdf', sep = ''), height = 5,  :   cannot open file 'rd-out/densitytest.pdf'
doi:10.7910/DVN/EZSJ1S	AJPS_Replication_Code.R	Error in eval(predvars, data, env) : object 'period2' not found
doi:10.7910/DVN/EZSJ1S	AJPS_Replication_Code_Appendix.R	Error in integrate.xy(den1$x, den1$x * den1$y) :   could not find function 'integrate.xy'
doi:10.7910/DVN/LKFOMW	DataAnalysis.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/6NDYHC	analysis.R	Error in loadfonts() : could not find function 'loadfonts'
doi:10.7910/DVN/6NDYHC	test-senate-93.R	Error in code_party_calls(sen93, pval_threshold = 0.05, type = 'lm') :   could not find function 'code_party_calls'
doi:10.7910/DVN/IK3DGT	Code Replication Value of a Seat PSRM.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/XRP3IU	figs.R	Error in loadNamespace(name) : there is no package called 'here'
doi:10.7910/DVN/M0NRLN	Farag_2020_Replication_Mass Elite Differences in Tunisia.R	success
doi:10.7910/DVN/VSS3KO	elite_survey_analysis.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/VSS3KO	voter_survey_analysis.R	Error in source(r_file) : invalid multibyte character in parser at line 6
doi:10.7910/DVN/L2IOZO	regpat-network-example.r	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/WG8VCK	fig1.r	Error in import('lib.csv') : could not find function 'import'
doi:10.7910/DVN/MLUEAJ	magni-poncedeleon-JEPS2020.R	Error in gettext(fmt, domain = domain) : reached elapsed time limit
doi:10.7910/DVN/GS8IFM	Visulization.R	Error in windowsFonts(Times = windowsFont('TT Times New Roman')) :   could not find function 'windowsFonts'
doi:10.7910/DVN/JIYR8A	distances_working.R	Error in rxOptions(sampleDataDir = system.file('SampleData', package = 'RevoScaleR'),  :   could not find function 'rxOptions'
doi:10.7910/DVN/1MGPNZ	program-1.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/ZJTLSW	zelizer_replication_code_IPC.R	Error in `[<-.data.frame`(`*tmp*`, , i, value = structure(c(1L, 3L, 1L,  :   reached elapsed time limit
doi:10.7910/DVN/ITVLIK	Code.R	Error in read.dta('Data/all data for CH.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/GJTFKQ	rp_fig1-1.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/GJTFKQ	rp_fig2-1.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/GJTFKQ	rp_tabA1.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/GJTFKQ	unknown	time limit exceeded
doi:10.7910/DVN/ORTDUM	unknown	time limit exceeded
doi:10.7910/DVN/ZIO43M	concordanceplot.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/ZIO43M	density_plot.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/ZIO43M	performance_profiles.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/ZIO43M	truth_table.R	Error : 'data/reference_in_column.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/P4VOCQ	interplotISQ.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/9WPVEY	Tremblay_Waring_analysis.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/VBYWOP	congress_tweets_functions.R	success
doi:10.7910/DVN/VBYWOP	covid_MLRoutine_NeutralSets.R	Error in data.table::fread('covid_tweets_nrt_4120.csv') :   File 'covid_tweets_nrt_4120.csv' does not exist or is non-readable. getwd()=='/usr/workdir'
doi:10.7910/DVN/VBYWOP	covid_MLroutine.R	Error in data.table::fread('~/Dropbox/CHAMP-Net/coronavirus_paper/data_and_code/covid_tweets_nrt_4120.csv') :   File '~/Dropbox/CHAMP-Net/coronavirus_paper/data_and_code/covid_tweets_nrt_4120.csv' does not exist or is non-readable. getwd()=='/usr/workdir'
doi:10.7910/DVN/VBYWOP	covid_MLroutine_all.R	Error in data.table::fread('moc116_tweets_covidflagged_4120.csv') :   File 'moc116_tweets_covidflagged_4120.csv' does not exist or is non-readable. getwd()=='/usr/workdir'
doi:10.7910/DVN/VBYWOP	covid_token_imp.R	Error in data.table::fread('~/Dropbox/CHAMP-Net/coronavirus_paper/data_and_code/covid_tweets_nrt_4120.csv') :   File '~/Dropbox/CHAMP-Net/coronavirus_paper/data_and_code/covid_tweets_nrt_4120.csv' does not exist or is non-readable. getwd()=='/usr/workdir'
doi:10.7910/DVN/VBYWOP	make_figures.R	Error in data.table::fread('~/Dropbox/CHAMP-Net/coronavirus_paper/data_and_code/replication_file/output/fullcv_preds.csv') :   File '~/Dropbox/CHAMP-Net/coronavirus_paper/data_and_code/replication_file/output/fullcv_preds.csv' does not exist or is non-readable. getwd()=='/usr/workdir'
doi:10.7910/DVN/VBYWOP	mir_preds_cv.R	Error : '~/Dropbox/CHAMP-Net/coronavirus_paper/data_and_code/covid_tweets_nrt_4120.csv' does not exist.
doi:10.7910/DVN/M7JKP6	Replication Code.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/QFWIHD	appendix-replication-file.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/QFWIHD	article-replication-file.R	success
doi:10.7910/DVN/EAXI4K	2015_08_26_WP1_Analysis.r	Error in install.packages(\car\"
doi:10.7910/DVN/EAXI4K	2015_08_26_WP1_Imputation.r	Error in install.packages('car', lib = '~/R/packages/3.2.1') :   unable to install packages
doi:10.7910/DVN/EAXI4K	2015_08_26_WP1_munge.r	Error : '\m' is an unrecognized escape in character string starting ''product design\m'
doi:10.7910/DVN/LBO6KC	missing_left_descriptive.R	success
doi:10.7910/DVN/2QCPOI	__replic.gps.2014.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/2QCPOI	__replic_2014_beps.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/2QCPOI	__replic_2014_ibope.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/2QCPOI	__replic_simmulation.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/EHR4QG	ReplicationFile.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/EHR4QG	SRM.R	success
doi:10.7910/DVN/EHR4QG	gbme.asym.r	success
doi:10.7910/DVN/Y2EMIO	unknown	download error
doi:10.7910/DVN/ZLEFIB	mcalexander_mentch_rf_replication.R	Error in importance(ans) : reached elapsed time limit
doi:10.7910/DVN/18QB3V	Age and parasite prevalence.R	Error : 'Data/imm_csbleed_overall.csv ' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/18QB3V	Chi-square analysis.R	Error : 'Data/imm_csbleed_overall6.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/18QB3V	Cross-sectional_survey_summary.R	Error : 'Data/imm_csbleed_overall.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/18QB3V	Gametocyte Poitivity Model - Recent episodes malaria pre- and post-ACT.R	Error : 'Data/imm_csbleed_overall3.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/18QB3V	Gametocyte Positivity Models.R	Error in .makeMessage(..., domain = domain) : reached elapsed time limit
doi:10.7910/DVN/18QB3V	Parasitaemia over time.R	Error : 'Data/imm_csbleed_overall.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/18QB3V	Parasite density over time.R	Error : 'Data/imm_csbleed_overall.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/18QB3V	Parasite prevalence by ACT period.R	Error : 'Data/imm_csbleed_overall.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/18QB3V	Summary Statistics - csbleed.R	Error : 'Data/imm_csbleed_data.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/18QB3V	Summary Statistics - wfu.R	Error : 'Data/imm_weekly_fu_overall.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/18QB3V	Summary of Parasite Positive Events.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/18QB3V	Summary of the csbleeds per year per cohort.R	Error : 'Data/csbleed_summary.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/18QB3V	Summary statistics - malaria episodes.R	Error : 'Data/imm_weekly_fu_data.csv' does not exist in current working directory ('/usr/workdir').
doi:10.7910/DVN/PBQRGQ	replication_partycompetence_v2.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/HVRCKM	APSR_protests3_1_rep.R	Error in library(here) : there is no package called 'here'
doi:10.7910/DVN/HVRCKM	carter_protest_data_prep3.R	Error in library(here) : there is no package called 'here'
doi:10.7910/DVN/HVRCKM	dca_protest_prep3.R	Error in library(janitor) : there is no package called 'janitor'
doi:10.7910/DVN/HVRCKM	demographic_data_prep3.R	Error in library(here) : there is no package called 'here'
doi:10.7910/DVN/HVRCKM	electoral_data_prep3.R	Error in library(here) : there is no package called 'here'
doi:10.7910/DVN/HVRCKM	make_script_rep.R	Error in library(here) : there is no package called 'here'
doi:10.7910/DVN/HVRCKM	source_libraries.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/HVRCKM	spatial_panel_models3.R	Error in library(here) : there is no package called 'here'
doi:10.7910/DVN/HVRCKM	summary_stats_revised.R	Error in here('data/summary_stats.Rdata') :   could not find function 'here'
doi:10.7910/DVN/HVRCKM	summary_stats_revised_extract.R	Error in here('code/summary_stats_revised_extract_matched_full_table.tex') :   could not find function 'here'
doi:10.7910/DVN/HVRCKM	weather_precip_station_merge3.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/FP8THH	Boxplots by Continent.R	success
doi:10.7910/DVN/FP8THH	unknown	time limit exceeded
